SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,ROUGH WATER,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,HOW SHALL I LIVE MY LIFE: ON LIBERATING THE EARTH FROM CIVILIZATION,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,SPOON RIVER ANTHOLOGY,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,HAPPY TO BE HERE,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,SELECTED PROSE OF HEINRICH VON KLEIST,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,SOUTHERN LADY CODE,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,SEVEN SHORT MASTERPIECES,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,THE TURN OF THE SCREW,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,THE CLASSIC SLAVE NARRATIVES,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,THE MUSIC SCHOOL,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,TRUST ME,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,SEVEN SHORT NOVEL MASTERPIECES,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,A SARATOGA ANTHOLOGY: LIBRARY BOUND,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,SELECTED POLITICAL WRITINGS,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,I MISS YOU WHEN I BLINK,,,
SWEET TOOTH,JEFF LEMIRE,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,ICELANDIC FOLK AND FAIRY TALES,,,
BONE,JEFF SMITH,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,ST. THOMAS AQUINAS ON POLITICS AND ETHICS,,,
BONE,JEFF SMITH,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,TRAVELS WITH FOXFIRE,,,
BONE,JEFF SMITH,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,AMERICA'S BEST NEWSPAPER WRITING: A COLLECTION OF ASNE PRIZEWINNERS,,,
BONE,JEFF SMITH,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,THE MAN WHO WOULD BE KING,,,
BONE,JEFF SMITH,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,THE MAGIC OF NATURE,,,
BONE,JEFF SMITH,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,MODELS OF THE UNIVERSE: AN ANTHOLOGY OF THE PROSE POEM,,,
MIRACLE SQUAD,"JOHN WOOLEY, TERRY TIDWELL",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,BEDTIME STORIES FOR GROWN-UPS,,,
ALEX + ADA,"JONATHAN LUNA, SARAH VAUGHN",,COMIC BOOK/GRAPHIC NOVEL,10/31/19,1/25/20,,"THE SOURCE OF SELF-REGARD: SELECTED ESSAYS, SPEECHES, AND MEDITATIONS",,,
ALEX + ADA,"JONATHAN LUNA, SARAH VAUGHN",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,CREATIVE NONFICTION,,,
ALEX + ADA,"JONATHAN LUNA, SARAH VAUGHN",,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,THE ANTIOCH REVIEW: THE REAL O.J. STORY,,,
THE COMPLETE PERSEPOLIS,MARJANE SATRAPI,,COMIC BOOK/GRAPHIC NOVEL,12/2/17,12/2/17,,THE MOTH,,,
BATTLESTAR GALACTICA,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,THE NORTON ANTHOLOGY OF AMERICAN LITERATURE,,,
BLACK BOLT,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,THE NORTON ANTHOLOGY OF ENGLISH LITERATURE,,,
BLACK BOLT,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,THE RENAISSANCE,,,
BLINK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE STORIES OF VLADIMIR NABOKOV,,,
BLINK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE ART OF COMMON PLACE,,,
BLINK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,THE ART OF THE COMMONPLACE,,,
BLINK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,MACBETH AND OF CIVIL GOVERNMENT,,,
BUCKAROO BANZAI,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,EIGHT MODERN ESSAYISTS,,,
CABLE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,"ON LIES, SECRETS, AND SILENCE: SELECTED PROSE 1966-1978",,,
CAPTAIN AMERICA,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,IN SEARCH OF OUR MOTHERS' GARDENS: WOMANIST PROSE,,,
CAPTAIN AMERICA,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,LISTEN UP: VOICES FROM THE NEXT FEMINIST GENERATION,,,
CAPTAIN AMERICA,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,AIN'T I A WOMAN: BLACK WOMEN AND FEMINISM,,,
CAPTAIN AMERICA,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,DAUGHTERS OF THE DREAMING,,,
CAPTAIN MARVEL,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,WOMEN CRIME & SOCIETY,,,
CONAN THE DESTROYER,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,"MAKING FACE, MAKING SOUL: HACIENDO CARAS",,,
DOCTOR VOODOO: AVENGER OF THE SUPERNATURAL,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,WOMEN AND REVOLUTION IN NICARAGUA,,,
EARTH X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,THE WOMEN'S MOVEMENT IN LATIN AMERICA: FEMINISM AND THE TRANSITION TO DEMOCRACY,,,
ELF QUEST,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,"OUT OF THE SHADOWS WOMEN, RESISTANCE AND POLITICS IN SOUTH AMERICA",,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,WOMEN IN PAIN: GENDER AND MORBIDITY IN MEXICO,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,LESBIAN TEXTS AND CONTEXTS: RADICAL REVISIONS,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,GENDER ROLES: A SOCIOLOGICAL PERSPECTIVE,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,"THE ARTISTRY OF ANGER: BLACK AND WHITE WOMEN'S LITERATURE IN AMERICA, 1820-1860",,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,FEMINISM AND POSTMODERNISM,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE HEALTH OF WOMEN: A GLOBAL PERSPECTIVE,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,"THE STRONGER WOMEN GET, THE MORE MEN LOVE FOOTBALL -SEXISM AND THE AMERICAN CULTURE OF SPORTS",,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,A SOUNDING OF WOMEN: AUTOBIOGRAPHIES FROM UNEXPECTED PLACES,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,POOR WOMEN POWERFUL MEN: AMERICA'S GREAT EXPERIMENT IN FAMILY PLANNING,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,COMPOSING A LIFE,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,A VINDICATION OF THE RIGHTS OF WOMAN,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE WOMAN WARRIOR - MEMOIRS OF A GIRLHOOD AMONG GHOSTS,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,NOTES FROM AN INCOMPLETE REVOLUTION: REAL LIFE SINCE FEMINISM,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,ALL MEN AND WOMEN ARE CREATED EQUAL,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,WOMEN'S WORK & CHICANO FAMILIES,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,"HOUSEHOLDS, EMPLOYMENT, AND GENDER: A SOCIAL ECONOMIC AND DEOMGRAPHIC VIEW",,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE FEMINIST DOLLAR: THE WISE WOMAN'S BUYING GUIDE,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,TRANSLATED WOMAN - CROSSING THE BORDER WITH ESPERANZA'S STORY,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,"THE SOCIAL CONSTRUCTION OF WHITENESS: WHITE WOMEN, RACE MATTERS",,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,GENDER REVERSALS AND GENDER CULTURES: ANTHROPOLOGICAL AND HISTORICAL PERSPECTIVES,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,CAETANA SAYS NO: WOMEN'S STORIES FROM A BRAZILIAN SLAVE SOCIETY,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,HOME TO STAY: ASIAN AMERICAN WOMEN'S FICTION,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,REFUGE: AN UNNATURAL HISTORY OF FAMILY AND PLACE,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,CHLOE PLUS OLIVIA: ANTHOLOGY OF LESBIAN LITERATURE FROM THE 17TH CENTURY TO THE PRESENT,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,THIS BRIDGE CALLED MY BACK: WRITINGS BY RADICAL WOMEN OF COLOR,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,EL SUR SEGUIDO DE BENE,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,EL SECRETO DE CHIMNEYS,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,HACIA CERO,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,INTRIGA EN BAGDAD,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,MATRIMONIO DE SABUESOS,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,UN TRISTE CIPRES,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,EL SUENO OSCURO,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,LAS ALAS DE LA PANTERA,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,INSTAN,,,
EXILES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,KONRAD O EL NINO QUE SALIR DE UNA LATA DE CONSERVAS,,,
FACTOR X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,DONDE HABITAN LOS ANGELES,,,
FACTOR X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,EASY LEARNING IRISH GRAMMAR,,,
FACTOR X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,CORAZON DE TINTA,,,
FACTOR X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,SANGRE DE TINTA,,,
FANTASTIC FOUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,SENTIERI,,,
G.I. JOE YEARBOOK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,EL AMOR ES JUEGO SOLITARIO,,,
GAMBIT AND THE X-TERNALS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,DICCIONARIO,,,
GAMBIT AND THE X-TERNALS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,BODAS DE SANGRE,,,
GAMBIT AND THE X-TERNALS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,UN AGUJERO EN LA ALAMBRADA,,,
GAMBIT AND THE X-TERNALS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,LIBRO DE BUEN AMOR,,,
GENERATION NEXT,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,REMESAS DE LOS MEXICANOS Y CENTROAMERICANOS EN ESTADOS UNIDOS,,,
GENERATION NEXT,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,COMPLETE SPANISH GRAMMAR,,,
GENERATION NEXT,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,LA VIDA DE SANTO DOMINGO DE SILOS,,,
GENERATION NEXT,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,MILAGROS DE NUESTRA SENORA,,,
GHOST RIDER,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,LA DOMADORA DE MIEDOS,,,
INDIANA JONES,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,POEMA DE MIO CID,,,
LEGION,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,EL GUARDIAN ENTRE EL CENTENO,,,
MICRONAUTS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,HEALTH: AN ECOSYSTEM APPROACH,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,SPANISH PANORAMA: YOUR FIRST STEPS IN SPANISH,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,BIBIANA Y SU MUNDO,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,PEPITA JIMENEZ,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,EL TE DE TORNILLO DEL PROFESOR ZIPER,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,CUANDO HITLER ROBO EL CONEJO ROSA,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,FRENCH PHRASEBOOK,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,THE AMERICAN SIGN LANGUAGE PHRASE BOOK,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,L'INGLESE: COMO SI PARLA: MANUALI DI CONVERSAZIONE CASANOVA,,,
MOON GIRL AND DEVIL DINOSAUR,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,CATALAN-ENGLISH DICTIONARY,,,
MORBIUS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,LE CHIEN JAUNE,,,
MUTANT X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,SILENA Y LA CAJA DE SECRETOS,,,
MUTANT X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,LA HIJA DEL ESPANTAPÁJAROS,,,
POWER MAN AND IRON FIST,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,ALTERNATIVE HEALING,,,
PUNISHER JOINS THE MOB,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,PAUSE-CAFÉ: FRENCH IN REVIEW,,,
ROCKET RACCOON,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,A STUDENT'S LATIN GRAMMAR,,,
RUNAWAYS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,2/13/19,2/13/19,,AUNQUE UD. NO LO CREA,,,
RUNAWAYS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/15/18,,AVENTURAS,,,
SHOGUN WARRIORS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,CONJUGACION,,,
SPIDER-MAN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,EN ESPAÑOL!: CUADERNO PARA HISPANOHABLANTES,,,
SPIDER-MAN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,EN ESPAÑOL!: MÁS PRÁCTICA,,,
SPIDER-MAN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,EXPOSICION DEL GRAN INCA ETERNO,,,
SPIDER-MAN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,GENKI ELEMENTARY JAPANESE WORKBOOK,,,
THE AVENGERS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,GENKI: AN INTEGRATED COURSE IN ELEMENTARY JAPANESE,,,
THE AVENGERS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,SAT SUBJECT TEST - SPANISH,,,
THE DEFENDERS,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,EL INVENTOR DE JUEGOS,,,
THE INCREDIBLE HULK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,LA TIERRA DE LAS PAPAS,,,
THE INCREDIBLE HULK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,EL SUENO DE VENECIA,,,
THE INCREDIBLE HULK,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,SOVIET SHORT STORIES: A PENGUIN PARALLEL TEXT,,,
THE THING,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,LA SENORA FRISBY Y LAS RATAS DE NIMH,,,
THE THING,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,BELLA Y OSCURA,,,
WEAPON X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,EASY SPANISH READER: A THREE-PART TEXT FOR BEGINNING STUDENTS,,,
WEAPON X,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE RISE OF DAVID LEVINSKY,,,
WHAT IF BLINK OF GENERATION X HAD NOT DIED,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,CUTTING FOR STONE,,,
WOLVERINE AND THE X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,MILK GLASS MOON,,,
X CABLE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,"CRY, THE BELOVED COUNTRY",,,
X UNIVERSE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,4/20/19,,THE LONELINESS OF THE LONG-DISTANCE RUNNER,,,
X-CALIBRE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,ALL CITY,,,
X-CALIBRE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,LOVE OVER SCOTLAND,,,
X-CALIBRE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE KALAHARI TYPING SCHOOL FOR MEN,,,
X-CALIBRE,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,ONE DAY IN THE LIFE OF IVAN DENISOVICH,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,CHARMING BILLY,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE ALMOST MOON,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,NOW IF THE TIME TO OPEN YOUR HEART,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE BEAUTY,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,OLDEST LIVING CONFEDERATE WIDOW TELLS ALL,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,I DON'T KNOW HOW SHE DOES IT,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,,,THE DEER DANCERS: THE LONG WALK,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,THE GIRL WHO KNEW TOO MUCH,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,"IMMIGRANT, MONTANA",,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,SAVING FISH FROM DROWNING,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,THE JOY LUCK CLUB,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,10/13/18,,BLACK FAMILIES AND THE STRUGGLE FOR SURVIVAL,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,THE CARDINAL SINS,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,LESS,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,THE IMPOSSIBLE LIVES OF GRETA WELLS,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,LIGHT ON SNOW,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/7/19,,THE ACCOMPLISHED GUEST,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,TOO LATE TO SAY GOODBYE,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,GHOST SINGER,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,PACK UP THE MOON,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,JOE JONAS,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,COLONY,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,"GOODBYE, JIMMY CHOO",,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,THE POSTMAN,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,MEMOIRS OF A GEISHA,,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,9/14/19,,"MEMOIRS OF A GEISHA, VINTAGE CONTEMPORARIES BOOKS",,,
X-MEN,MARVEL,,COMIC BOOK/GRAPHIC NOVEL,9/14/19,9/14/19,,THE GOD OF SMALL THINGS,,,
CONAN THE KING,MIKE DOCHERTY,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,SISTER OUTSIDER,,,
NATIONAL AQUARIUM IN BALTIMORE: BOOK OF CARTOONS,N/A,,COMIC BOOK/GRAPHIC NOVEL,2/10/18,2/10/18,,THE TIME TRAVELER'S WIFE,,,
BRAVEST WARRIORS: TALES FROM THE HOLO JOHN,PENDLETON WARD,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,1/25/20,,MIDNIGHT MAGIC,,,
KEYSER SOZE: SCORCHED EARTH,RED 5,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,11/9/19,,SLEEPING AT THE STARLITE MOTEL,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,12/7/19,,,PRODIGAL SUMMER,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,12/7/19,1/25/20,,THE BEAN TREES,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,12/7/19,12/7/19,,CROSSING THE TRACKS,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,12/8/18,,THE PROPHETS,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,BILLY FLYNN'S LONG HALFTIME WALK,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,THE FAMISHED ROAD,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,HOMECOMING,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,AN ANTHOLOGY FOR CREATIVE WRITERS: A GARDEN OF FORKING PATHS,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,2/13/19,,NOT WITHOUT MY DAUGHTER,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,BRING ON THE BLESSINGS,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,3/30/19,,CLASSIC GHOST STORIES,,,
THE WALKING DEAD,ROBERT KIRKMAN,,COMIC BOOK/GRAPHIC NOVEL,4/21/18,8/24/19,,FIRES OF WAR,,,
